ChannelFlow: (commit = "be56ce25852e322b6e2467aa0e1de24841a55d15", dirty = true, hash = "89c365974535ef9d8a5d2304b6b2f67283afad1584fe451269cc4e42ffaa219b"); backend: (commit = "90fd15668dc78601c3d6e6f820fa1e69e59857a2", dirty = true, hash = "b1c045e8bf7a384c471dc843a4f5ff27230c24b8dca5144e0d1678c323236ff3")
 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
    10        10 @Base/simdloop.jl         ? macro expansion
    10        10 …ibsystem_malloc.dylib    ? [unknown function]
    10         0 @Base/broadcast.jl      995 macro expansion
    11         0 @ChannelFlow/src/nonlinear.jl  139 _convectiveform!(Eq::NonLinearTer…
    11         0 @ChannelFlow/src/operators.jl   71 ddx3!
    11         0 @ChannelFlow/src/operators.jl   76 ddx3!(OUT::SpectralField{Float64,…
    11         0 @ChebyshevHelmoltzSolvers/src/quasitridiag.jl  119 ldiv!(Q::ChebyshevHelmoltzSolvers…
    12         0 @ChannelFlow/src/helmoltz.jl  251 solve!(solver::InfluenceModeSolve…
    12         0 @ChebyshevHelmoltzSolvers/src/chebcoeffs.jl   89 diff!
    13         0 @ChannelFlow/…timesteppers/cnrk2.jl  194 step!(scheme::CNRK2{FourierStokes…
    13         0 @ChannelFlow/…elds/physicalfield.jl   76 size
    13         0 @ChebyshevHelmoltzSolvers/src/chebcoeffs.jl   60 setindex!
    13        13 …ibsystem_malloc.dylib    ? _xzm_xzone_malloc
    13         0 @ChannelFlow/src/operators.jl   39 ddx2!
    14         0 @ChannelFlow/src/ffts.jl  249 copy_to_padded!(dest::SpectralFie…
    14         0 @ChannelFlow/src/ffts.jl  250 copy_to_padded!(dest::SpectralFie…
    15         0 @ChannelFlow/src/nonlinear.jl  155 _convectiveform!(Eq::NonLinearTer…
    15         0 @ChannelFlow/src/nonlinear.jl  281 _store_rhs!(dUdt::VectorField{Spe…
    16        16 …/lib/libfftw3.3.dylib    ? t1fv_7
    16         0 @ChannelFlow/src/helmoltz.jl  301 solve!(solver::InfluenceModeSolve…
    17         0 @ChannelFlow/…timesteppers/cnrk2.jl  186 step!(scheme::CNRK2{FourierStokes…
    18        18 …ibsystem_malloc.dylib    ? _free
    19         0 @ChannelFlow/src/helmoltz.jl  293 solve!(solver::InfluenceModeSolve…
    20         0 @Base/broadcast.jl      994 copyto!
    20        20 …/lib/libfftw3.3.dylib    ? hf_7
    20         0 @ChannelFlow/src/indexing.jl   16 macro expansion
    20        20 …ibsystem_malloc.dylib    ? xzm_malloc
    21        21 …/lib/libfftw3.3.dylib    ? r2cf_7
    22         0 @ChebyshevHelmoltzSolvers/src/quasitridiag.jl  113 ldiv!(Q::ChebyshevHelmoltzSolvers…
    23        23 …/lib/libfftw3.3.dylib    ? fftw_cpy2d_pair_ci
    24        24 …system_platform.dylib    ? _platform_memset
    24         0 @Base/multidimensional.jl  450 __inc
    26         0 @ChannelFlow/src/nonlinear.jl  142 _convectiveform!(Eq::NonLinearTer…
    26        26 …ibsystem_malloc.dylib    ? _malloc_zone_malloc
    26         0 …/lib/libfftw3.3.dylib    ? dobatch
    27         0 @Base/abstractarray.jl 1110 copyto_unaliased!(deststyle::Inde…
    27         0 @Base/iterators.jl      416 iterate
    27         0 @Base/iterators.jl      425 _zip_iterate_all
    27         0 @Base/iterators.jl      433 _zip_iterate_some
    27         0 @Base/multidimensional.jl  425 iterate
    27        27 @Base/int.jl             87 +
    27        27 …/lib/libfftw3.3.dylib    ? n1bv_7
    27         0 @Base/array.jl          997 setindex!
    27        24 @Base/array.jl         1003 _setindex!
    27        27 …/lib/libfftw3.3.dylib    ? hf_2
    27         0 @ChannelFlow/src/ffts.jl  159 (::InverseFFT!{FFTW.rFFTWPlan{Com…
    27         0 @Base/multidimensional.jl 1186 fill!
    27         1 …/lib/libfftw3.3.dylib    ? apply_buf
    27         0 @ChannelFlow/src/helmoltz.jl  252 solve!(solver::InfluenceModeSolve…
    29         0 @ChannelFlow/src/ffts.jl  160 (::InverseFFT!{FFTW.rFFTWPlan{Com…
    29        29 @Base/broadcast.jl        ? _bcs
    30         0 @ChannelFlow/…timesteppers/cnrk2.jl  196 step!(scheme::CNRK2{FourierStokes…
    30         0 @Base/abstractarray.jl 3106 _ind2sub_recurse
