 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
    10        10 …/lib/libfftw3.3.dylib    ? q1fv_2
    10        10 …/lib/libfftw3.3.dylib    ? [unknown function]
    10         0 @ChannelFlow/src/helmoltz.jl  169 _influence_correction!(solver::In…
    10         0 @Base/broadcast.jl      665 _broadcast_getindex
    10         0 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  125 macro expansion
    11         0 @Base/abstractarray.jl 1096 copyto_unaliased!(deststyle::Inde…
    11        11 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  133 _solve_parity!(h::ChebyshevHelmol…
    11        11 …/lib/libfftw3.3.dylib    ? r2cfII_12
    12         0 @ChannelFlow/src/helmoltz.jl  175 _influence_correction!(solver::In…
    12        12 …ibsystem_malloc.dylib    ? [unknown function]
    13         0 @ChannelFlow/src/ffts.jl  271 copy_from_padded!(dest::SpectralF…
    13        13 @Base/broadcast.jl        ? combine_axes
    13         0 @Base/subarray.jl       315 getindex
    13         4 @Base/abstractarray.jl  699 checkbounds
    13        13 …/lib/libfftw3.3.dylib    ? fftw_isqrt
    13         0 @Base/subarray.jl       398 setindex!
    14         0 @Base/abstractarray.jl 1235 iterate
    14         0 @Base/abstractarray.jl 1388 _getindex
    14        14 …ibsystem_malloc.dylib    ? _malloc_zone_malloc
    14         0 @ChannelFlow/src/helmoltz.jl  232 solve!(solver::InfluenceModeSolve…
    14        14 …ibsystem_malloc.dylib    ? _xzm_xzone_malloc
    15         0 @Base/subarray.jl       392 setindex!
    15         0 @ChannelFlow/…elds/gradientfield.jl   55 grad!(GRAD::ChannelFlow.GradientF…
    15        13 @ChannelFlow/src/operators.jl  113 laplacian!(OUT::SpectralField{Flo…
    15        15 …system_platform.dylib    ? __bzero
    16         0 @ChannelFlow/src/ffts.jl  256 copy_to_padded!(dest::SpectralFie…
    16         0 @ChannelFlow/…elds/gradientfield.jl   53 grad!(GRAD::ChannelFlow.GradientF…
    16        16 …/lib/libfftw3.3.dylib    ? t2fv_2
    16         0 @ChannelFlow/src/ffts.jl  270 copy_from_padded!(dest::SpectralF…
    16        16 …/lib/libfftw3.3.dylib    ? r2cf_12
    17         0 @Base/indices.jl        466 iterate
    17        17 @ChannelFlow/src/operators.jl   54 ddx2!(OUT::SpectralField{Float64,…
    17         0 @ChannelFlow/…elds/gradientfield.jl   54 grad!(GRAD::ChannelFlow.GradientF…
    17         0 @ChebyshevHelmoltzSolvers/src/chebcoeffs.jl   54 getindex
    18         0 @ChannelFlow/…elds/physicalfield.jl   76 size
    18        18 @Base/essentials.jl      11 length
    18         0 @ChebyshevHelmoltzSolvers/src/chebcoeffs.jl  112 endpoint_derivative(a::ChebyshevH…
    18         0 @Base/promotion.jl      404 promote
    18         0 @Base/promotion.jl      379 _promote
    18         0 @Base/number.jl           7 convert
    18        18 @Base/float.jl          245 Float64
    18         0 @Base/abstractarray.jl 1097 copyto_unaliased!(deststyle::Inde…
    18         0 @ChannelFlow/…elds/spectralfield.jl   44 getindex
    19        19 …/lib/libfftw3.3.dylib    ? hf_2
    19         0 @Base/promotion.jl      434 *
    19         0 @ChannelFlow/src/helmoltz.jl  296 solve!(solver::InfluenceModeSolve…
    19        19 …ibsystem_malloc.dylib    ? _free
    20         0 @ChannelFlow/…timesteppers/cnrk2.jl  195 step!(scheme::CNRK2{FourierStokes…
    20         0 @ChebyshevHelmoltzSolvers/src/quasitridiag.jl  119 ldiv!(Q::ChebyshevHelmoltzSolvers…
    20        20 @Base/simdloop.jl         ? macro expansion
    20         0 @ChannelFlow/…timesteppers/cnrk2.jl  194 step!(scheme::CNRK2{FourierStokes…
    21         0 @ChannelFlow/src/operators.jl   15 ddx1!
    21         0 @ChannelFlow/src/operators.jl   20 ddx1!(OUT::SpectralField{Float64,…
    22         0 @ChannelFlow/src/operators.jl   71 ddx3!
    22         0 @ChannelFlow/src/operators.jl   76 ddx3!(OUT::SpectralField{Float64,…
    22        22 …/lib/libfftw3.3.dylib    ? n1fv_12
    23         0 @ChannelFlow/src/helmoltz.jl  253 solve!(solver::InfluenceModeSolve…
    24         0 @Base/operators.jl      642 *
    24         0 @ChannelFlow/src/ffts.jl  255 copy_to_padded!(dest::SpectralFie…
    25         0 @ChebyshevHelmoltzSolvers/src/quasitridiag.jl  113 ldiv!(Q::ChebyshevHelmoltzSolvers…
    25         0 @ChannelFlow/src/operators.jl   39 ddx2!
    25        25 …system_platform.dylib    ? _platform_memset
    25         0 @ChebyshevHelmoltzSolvers/src/chebcoeffs.jl   89 diff!
    26        26 …/lib/libfftw3.3.dylib    ? hc2cfdftv_12
    27         1 …/lib/libfftw3.3.dylib    ? apply_dit_dft
    29         0 @ChannelFlow/src/ffts.jl   76 (::ForwardFFT!{FFTW.rFFTWPlan{Flo…
    29         0 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  130 _solve_parity!(h::ChebyshevHelmol…
    29         0 @ChannelFlow/src/nonlinear.jl  281 _store_rhs!(dUdt::VectorField{Spe…
    30         0 @ChannelFlow/src/ffts.jl   81 (::ForwardFFT!{FFTW.rFFTWPlan{Flo…
    30         0 @ChebyshevHelmoltzSolvers/src/chebcoeffs.jl   60 setindex!
    30         0 @ChannelFlow/src/nonlinear.jl  155 _convectiveform!(Eq::NonLinearTer…
    33        33 …/lib/libfftw3.3.dylib    ? fftw_cpy1d
    34         0 @Base/multidimensional.jl  450 __inc
    34         0 @Base/broadcast.jl      995 macro expansion
    34        34 …/lib/libfftw3.3.dylib    ? r2cbIII_12
    34        34 …ibsystem_malloc.dylib    ? xzm_malloc
