 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
    10         0 @ChannelFlow/src/helmoltz.jl  169 _influence_correction!(solver::In…
    10         0 @ChannelFlow/src/operators.jl  109 laplacian!(OUT::SpectralField{Flo…
    10         7 @ChannelFlow/src/operators.jl  113 laplacian!(OUT::SpectralField{Flo…
    11         0 @ChannelFlow/src/helmoltz.jl  307 solve!(solver::InfluenceModeSolve…
    11         0 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  125 macro expansion
    11        11 @Base/broadcast.jl        ? _bcs1
    11         0 @ChannelFlow/…timesteppers/cnrk2.jl  184 step!(scheme::CNRK2{FourierStokes…
    11         0 @ChannelFlow/src/operators.jl   51 ddx2!(OUT::SpectralField{Float64,…
    11        11 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  119 _solve_parity!(h::ChebyshevHelmol…
    11        11 …/lib/libfftw3.3.dylib    ? q1fv_2
    12         0 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  121 _solve_parity!(h::ChebyshevHelmol…
    12         0 @ChebyshevHelmoltzSolvers/src/chebcoeffs.jl   54 getindex
    13        13 …/lib/libfftw3.3.dylib    ? t2fv_2
    13        13 @Base/simdloop.jl         ? macro expansion
    13         2 …/lib/libfftw3.3.dylib    ? apply_dif
    13         0 @ChannelFlow/src/helmoltz.jl  297 solve!(solver::InfluenceModeSolve…
    14         0 @Base/promotion.jl      434 *
    14         0 @Base/promotion.jl      404 promote
    14         0 @Base/promotion.jl      379 _promote
    14         0 @Base/number.jl           7 convert
    14        14 @Base/float.jl          245 Float64
    14         0 @ChebyshevHelmoltzSolvers/src/chebcoeffs.jl  112 endpoint_derivative(a::ChebyshevH…
    15         0 @ChannelFlow/…elds/gradientfield.jl   53 grad!(GRAD::ChannelFlow.GradientF…
    15        15 @Base/essentials.jl      11 length
    15         0 @ChannelFlow/src/helmoltz.jl  253 solve!(solver::InfluenceModeSolve…
    16         0 @Base/operators.jl      642 *
    16         0 @ChannelFlow/…elds/spectralfield.jl   44 getindex
    17        17 @Base/broadcast.jl        ? combine_axes
    17        17 …/lib/libfftw3.3.dylib    ? hc2cfdftv_6
    17         0 @ChebyshevHelmoltzSolvers/src/quasitridiag.jl  119 ldiv!(Q::ChebyshevHelmoltzSolvers…
    18        18 …system_platform.dylib    ? _platform_memset
    19        19 …ibsystem_malloc.dylib    ? xzm_malloc
    20        20 …ibsystem_malloc.dylib    ? _free
    20        20 …ibsystem_malloc.dylib    ? _malloc_zone_malloc
    21         0 @Base/abstractarray.jl 3106 _ind2sub_recurse
    21        21 @ChannelFlow/src/operators.jl   54 ddx2!(OUT::SpectralField{Float64,…
    21         0 @ChannelFlow/…elds/gradientfield.jl   55 grad!(GRAD::ChannelFlow.GradientF…
    21         0 @Base/broadcast.jl      995 macro expansion
    22         0 @ChannelFlow/src/helmoltz.jl  296 solve!(solver::InfluenceModeSolve…
    22         0 @ChannelFlow/…timesteppers/cnrk2.jl  194 step!(scheme::CNRK2{FourierStokes…
    22         0 @ChannelFlow/src/ffts.jl  256 copy_to_padded!(dest::SpectralFie…
    23         0 @ChannelFlow/src/operators.jl   15 ddx1!
    23         0 @ChannelFlow/src/operators.jl   20 ddx1!(OUT::SpectralField{Float64,…
    23        23 …/lib/libfftw3.3.dylib    ? n1fv_12
    23         0 @ChannelFlow/…timesteppers/cnrk2.jl  195 step!(scheme::CNRK2{FourierStokes…
    23         0 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  130 _solve_parity!(h::ChebyshevHelmol…
    26        26 …/lib/libfftw3.3.dylib    ? r2cbIII_12
    26         0 @ChannelFlow/src/operators.jl   71 ddx3!
    26         0 @ChannelFlow/src/operators.jl   76 ddx3!(OUT::SpectralField{Float64,…
    27         0 @ChannelFlow/src/ffts.jl  255 copy_to_padded!(dest::SpectralFie…
    29         0 @ChannelFlow/src/nonlinear.jl  139 _convectiveform!(Eq::NonLinearTer…
    29         0 @ChannelFlow/…elds/gradientfield.jl   54 grad!(GRAD::ChannelFlow.GradientF…
    29         0 @ChannelFlow/src/helmoltz.jl  232 solve!(solver::InfluenceModeSolve…
    30         2 @ChannelFlow/src/helmoltz.jl  301 solve!(solver::InfluenceModeSolve…
    30        30 …/lib/libfftw3.3.dylib    ? [unknown function]
    31         0 @ChebyshevHelmoltzSolvers/src/quasitridiag.jl  113 ldiv!(Q::ChebyshevHelmoltzSolvers…
    32         0 @ChannelFlow/…elds/physicalfield.jl   76 size
    32        32 …ibsystem_malloc.dylib    ? _xzm_xzone_malloc
    33         0 @ChannelFlow/src/nonlinear.jl  155 _convectiveform!(Eq::NonLinearTer…
    33         0 @ChannelFlow/src/nonlinear.jl  281 _store_rhs!(dUdt::VectorField{Spe…
    33         0 @ChannelFlow/src/ffts.jl   81 (::ForwardFFT!{FFTW.rFFTWPlan{Flo…
    34         0 @Base/indices.jl        466 iterate
    35        35 …/lib/libfftw3.3.dylib    ? hf_2
    35         0 @ChebyshevHelmoltzSolvers/src/chebcoeffs.jl   89 diff!
    36         0 @ChannelFlow/…timesteppers/cnrk2.jl  186 step!(scheme::CNRK2{FourierStokes…
    38        38 …/lib/libfftw3.3.dylib    ? n1_8
    38         0 @Base/multidimensional.jl  450 __inc
    39         0 @ChannelFlow/src/operators.jl   39 ddx2!
    41         0 @ChannelFlow/src/helmoltz.jl  252 solve!(solver::InfluenceModeSolve…
    41         0 @Base/broadcast.jl      994 copyto!
    41         0 @ChebyshevHelmoltzSolvers/src/chebcoeffs.jl   60 setindex!
    41         0 @Base/iterators.jl      433 _zip_iterate_some
    42         0 @Base/abstractarray.jl 1110 copyto_unaliased!(deststyle::Inde…
    42         0 @Base/iterators.jl      416 iterate
    42         0 @Base/iterators.jl      425 _zip_iterate_all
    43         0 @Base/multidimensional.jl  425 iterate
    44         0 @ChannelFlow/src/indexing.jl   16 macro expansion
    45        45 …system_platform.dylib    ? _platform_memmove
    45         0 @ChannelFlow/…elds/physicalfield.jl   71 setindex!
    46         0 @ChannelFlow/src/helmoltz.jl  299 solve!(solver::InfluenceModeSolve…
    47         0 @ChannelFlow/src/helmoltz.jl  251 solve!(solver::InfluenceModeSolve…
    48        48 …/lib/libfftw3.3.dylib    ? r2cb_12
    48        48 @Base/int.jl             87 +
    48         0 @ChannelFlow/…elds/physicalfield.jl   63 getindex
    49         0 @ChannelFlow/src/ffts.jl  173 (::InverseFFT!{FFTW.rFFTWPlan{Com…
    51         0 @ChannelFlow/src/ffts.jl  172 (::InverseFFT!{FFTW.rFFTWPlan{Com…
    52        52 …/lib/libfftw3.3.dylib    ? fftw_transpose
    54         0 @ChannelFlow/…elds/spectralfield.jl   55 size
    56         0 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  128 _solve_parity!(h::ChebyshevHelmol…
    57         0 @Base/multidimensional.jl 1186 fill!
    57         0 @Base/abstractarray.jl 1070 copyto!
    58         0 @Base/broadcast.jl      988 copyto!
    59        59 …/lib/libfftw3.3.dylib    ? hc2cbdftv_12
    61        61 @Base/broadcast.jl        ? _getindex
    63         0 @ChannelFlow/src/helmoltz.jl  293 solve!(solver::InfluenceModeSolve…
    65         0 @ChannelFlow/src/nonlinear.jl  142 _convectiveform!(Eq::NonLinearTer…
    66        66 @Base/broadcast.jl        ? _bcs
    70         0 @Base/array.jl          997 setindex!
    70        53 @Base/array.jl         1003 _setindex!
    70         0 @ChannelFlow/src/ffts.jl   73 (::ForwardFFT!{FFTW.rFFTWPlan{Flo…
    70         0 @FFTW/src/fft.jl        530 unsafe_execute!
    71        18 …/lib/libfftw3.3.dylib    ? apply_dif_dft
    71        71 …/lib/libfftw3.3.dylib    ? n2bv_12
    72        72 @Base/int.jl             83 <
    76         0 @ChannelFlow/…fields/vectorfield.jl   51 materialize!
    76         0 @ChannelFlow/…fields/vectorfield.jl   60 copyto!(dest::VectorField{Spectra…
    76         0 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  122 _solve_parity!(h::ChebyshevHelmol…
    77        77 …/lib/libfftw3.3.dylib    ? t1bv_4
    77         0 @Base/abstractarray.jl 1383 _getindex
    77         0 @Base/abstractarray.jl 1390 _to_subscript_indices
    77         0 @Base/abstractarray.jl 1412 _unsafe_ind2sub
    77         0 @Base/abstractarray.jl 3054 _ind2sub
    77         0 @Base/abstractarray.jl 3092 _ind2sub
    77         0 @Base/abstractarray.jl 3105 _ind2sub_recurse
    77         0 @Base/abstractarray.jl 3112 _div
    77        77 @Base/int.jl            301 div
    80         0 @Base/broadcast.jl      696 _getindex
    81        80 …ibsystem_malloc.dylib    ? _xzm_xzone_malloc_tiny
    82         3 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  112 solve!
    85         0 @ChannelFlow/…elds/spectralfield.jl   50 setindex!
    85        13 @Base/simdloop.jl        75 macro expansion
    88        88 …/lib/libfftw3.3.dylib    ? fftw_cpy2d_ci
    90         0 @ChannelFlow/…timesteppers/cnrk2.jl  196 step!(scheme::CNRK2{FourierStokes…
    93         5 …/lib/libfftw3.3.dylib    ? copy
    93        93 @Base/promotion.jl      637 ==
    98         0 @Base/broadcast.jl      504 combine_axes
    98        10 @Base/range.jl          921 iterate
   102         0 @Base/abstractarray.jl   98 axes
   102       102 @Base/array.jl          194 size
   107         0 @Base/broadcast.jl      947 copyto!
   113         0 @Base/broadcast.jl      902 materialize!
   113         0 @Base/broadcast.jl      905 materialize!
   116         9 @ChebyshevHelmoltzSolvers/src/helmoltz.jl  113 solve!
   122       122 …ibsystem_malloc.dylib    ? _xzm_free
   122       122 @Base/broadcast.jl      535 _bcs1
   124       124 …/lib/libfftw3.3.dylib    ? n1_4
   128         0 @Base/array.jl          986 setindex!
   128       127 @Base/array.jl          991 _setindex!
   129         0 @ChannelFlow/src/ffts.jl  169 (::InverseFFT!{FFTW.rFFTWPlan{Com…
   136       136 @Base/essentials.jl     920 getindex
   159         3 …/lib/libfftw3.3.dylib    ? fftw_malloc_plain
   178         0 @Base/broadcast.jl      529 _bcs
   195         0 @ChannelFlow/src/helmoltz.jl  233 solve!(solver::InfluenceModeSolve…
   199         0 @Base/broadcast.jl      523 broadcast_shape
   221         0 @ChannelFlow/src/ffts.jl   77 (::ForwardFFT!{FFTW.rFFTWPlan{Flo…
   254         0 …/lib/libfftw3.3.dylib    ? apply_op
   256         0 …/lib/libfftw3.3.dylib    ? apply_hc2r
   262         0 @Base/broadcast.jl      503 combine_axes
   301         0 @Base/broadcast.jl      623 _getindex
   301         0 @Base/broadcast.jl      238 axes
   301         0 @Base/broadcast.jl      240 _axes
   332         0 @ChannelFlow/src/nonlinear.jl  153 _convectiveform!(Eq::NonLinearTer…
   332         0 @ChannelFlow/src/ffts.jl   94 ForwardFFT!
   355         0 @Base/abstractarray.jl 3088 offsetin
   357         0 @ChannelFlow/…elds/spectralfield.jl   72 macro expansion
   358         0 @Base/abstractarray.jl 3065 _sub2ind
   358         0 @Base/abstractarray.jl 3081 _sub2ind_recurse
   359       359 @Base/int.jl             86 -
   361         0 @ChannelFlow/…elds/spectralfield.jl   71 materialize!
   373         2 @ChannelFlow/src/helmoltz.jl  572 solve!(solver::FourierStokesSolve…
   374         0 @Base/abstractarray.jl 1377 _to_linear_index
   374         0 @Base/abstractarray.jl 3049 _sub2ind
   375         0 @ChannelFlow/…timesteppers/cnrk2.jl  202 step!(scheme::CNRK2{FourierStokes…
   375         0 @ChannelFlow/src/helmoltz.jl  546 solve!
   376         0 @ChannelFlow/src/nonlinear.jl  145 _convectiveform!(Eq::NonLinearTer…
   412         0 @Base/abstractarray.jl 1371 _getindex
   413         0 @Base/broadcast.jl      652 _broadcast_getindex
   415         0 @Base/broadcast.jl      695 _getindex
   424         0 @Base/broadcast.jl      671 _broadcast_getindex
   426         0 @Base/broadcast.jl      620 _getindex
   448         0 @ChannelFlow/src/ffts.jl  175 (::InverseFFT!{FFTW.rFFTWPlan{Com…
   448         0 @FFTW/src/fft.jl        540 unsafe_execute!
   492         0 @Base/broadcast.jl      624 _getindex
   495         0 @Base/abstractarray.jl 1342 getindex
   564         0 @ChannelFlow/src/nonlinear.jl  148 _convectiveform!(Eq::NonLinearTer…
   564         0 @ChannelFlow/…elds/gradientfield.jl   95 dot!(out::VectorField{PhysicalFie…
   564         0 @ChannelFlow/…elds/physicalfield.jl   94 materialize!
   564         0 @ChannelFlow/…elds/physicalfield.jl   95 macro expansion
   567        10 …/lib/libfftw3.3.dylib    ? apply_dit
   718       683 …/lib/libfftw3.3.dylib    ? apply_r2hc
   865         0 @Base/broadcast.jl      616 getindex
   907         0 @ChannelFlow/src/ffts.jl  168 (::InverseFFT!{FFTW.rFFTWPlan{Com…
   958         0 @Base/simdloop.jl        77 macro expansion
  1012        89 …/lib/libfftw3.3.dylib    ? apply_e
  1128         0 @FFTW/src/fft.jl        550 unsafe_execute!
  1214         0 @ChannelFlow/src/nonlinear.jl  146 _convectiveform!(Eq::NonLinearTer…
  1214         0 @ChannelFlow/src/ffts.jl  191 (::InverseFFT!{FFTW.rFFTWPlan{Com…
  1590         0 @ChannelFlow/src/ffts.jl  182 InverseFFT!
  1852       162 …/lib/libfftw3.3.dylib    ? apply
  2614         0 @ChannelFlow/…timesteppers/cnrk2.jl  173 step!(scheme::CNRK2{FourierStokes…
  2614         0 @ChannelFlow/src/nonlinear.jl  124 NonLinearTerm
  3171         0 @juliasrc/interpreter.c  123 do_call
  3171         0 @ChannelFlow/…f/profile_detailed.jl  133 main()
  3171         0 @Base/io.jl             409 open
  3171         0 @Base/io.jl             412 open(::var"#main##0#main##1"{Stri…
  3171         0 @ChannelFlow/…f/profile_detailed.jl  138 (::var"#main##0#main##1"{String})…
  3171         0 @ChannelFlow/…f/profile_detailed.jl  123 run_case(io::IOStream, flags::UIn…
  3171         0 @Profile/src/Profile.jl   60 macro expansion
  3171         0 @ChannelFlow/…f/profile_detailed.jl  123 macro expansion
  3171         0 @ChannelFlow/…f/profile_detailed.jl   81 (::var"#direct#run_case##0"{State…
  3171         0 @ChannelFlow/…timesteppers/cnrk2.jl  147 step!
  3183        12 [any unknown stackframes]
  3203         0 @juliasrc/jlapi.c      1139 jl_repl_entrypoint
  3203         0 @juliasrc/jlapi.c       971 true_main
  3203         0 @juliasrc/julia.h      2391 jl_apply
  3203         0 @julialib/julia/sys.dylib    ? jfptr__start_29115.1
  3203         0 @Base/client.jl         550 _start()
  3203         0 @Base/client.jl         317 exec_options(opts::Base.JLOptions)
  3203         0 @Base/Base.jl           306 include(mod::Module, _path::Strin…
  3203         0 @Base/loading.jl       2934 _include(mapexpr::Function, mod::…
  3203         0 @Base/loading.jl       2874 include_string(mapexpr::typeof(Ba…
  3203         0 @Base/boot.jl           489 eval(m::Module, e::Any)
  3203         0 @juliasrc/toplevel.c   1092 ijl_toplevel_eval_in
  3203         0 @juliasrc/toplevel.c   1047 ijl_toplevel_eval
  3203         0 @juliasrc/toplevel.c    975 jl_toplevel_eval_flex
  3203         0 @juliasrc/toplevel.c   1035 jl_toplevel_eval_flex
  3203         0 @juliasrc/interpreter.c  898 jl_interpret_toplevel_thunk
  3203         0 @juliasrc/interpreter.c  689 eval_body
  3203         0 @juliasrc/interpreter.c  194 eval_stmt_value
Total snapshots: 3628. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
