ChannelFlow: (commit = "be56ce25852e322b6e2467aa0e1de24841a55d15", dirty = true, hash = "4c25ef7b1ddb791b46547b3f9c2459abd8a65d12936fd991088642af9ca74040"); backend: (commit = "90fd15668dc78601c3d6e6f820fa1e69e59857a2", dirty = true, hash = "b1c045e8bf7a384c471dc843a4f5ff27230c24b8dca5144e0d1678c323236ff3")
FFTW planning: ESTIMATE
nonlinear: median 13.241542 ms/call
gradient: median 0.22733399999999998 ms/call
stokes: median 1.569458 ms/call
inverse_scalar: median 0.6866249999999999 ms/call
forward_scalar: median 0.670292 ms/call
inverse_chebyshev: median 0.424208 ms/call
inverse_fourier: median 0.18000000000000002 ms/call
 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
    10         0 @ChannelFlow/src/nonlinear.jl  139 _convectiveform!(Eq::NonLinearTer…
    10         0 @ChebyshevHelmoltzSolvers/src/quasitridiag.jl  119 ldiv!(Q::ChebyshevHelmoltzSolvers…
    11         1 …/lib/libfftw3.3.dylib    ? apply_dit_dft
    12         0 @ChannelFlow/src/ffts.jl   81 (::ForwardFFT!{FFTW.rFFTWPlan{Flo…
    12         1 @ChannelFlow/src/helmoltz.jl  301 solve!(solver::InfluenceModeSolve…
    12         0 @ChannelFlow/…timesteppers/cnrk2.jl  186 step!(scheme::CNRK2{FourierStokes…
    12         0 @ChannelFlow/src/helmoltz.jl  251 solve!(solver::InfluenceModeSolve…
    12         0 @Base/broadcast.jl      995 macro expansion
    13         0 @ChannelFlow/…elds/gradientfield.jl   54 grad!(GRAD::ChannelFlow.GradientF…
    13        13 …/lib/libfftw3.3.dylib    ? r2cbIII_12
    14         0 @Base/abstractarray.jl 3106 _ind2sub_recurse
    14         0 @ChannelFlow/src/operators.jl   39 ddx2!
    14         0 @ChannelFlow/…elds/physicalfield.jl   71 setindex!
    14         0 @ChannelFlow/src/indexing.jl   16 macro expansion
    15         0 @ChannelFlow/src/helmoltz.jl  252 solve!(solver::InfluenceModeSolve…
    15         0 @ChebyshevHelmoltzSolvers/src/quasitridiag.jl  113 ldiv!(Q::ChebyshevHelmoltzSolvers…
    15         0 @ChannelFlow/…elds/physicalfield.jl   63 getindex
    15         0 @ChannelFlow/…timesteppers/cnrk2.jl  194 step!(scheme::CNRK2{FourierStokes…
    15        15 …system_platform.dylib    ? _platform_memmove
